# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag	
her	skaraborn	en-AU	
glis	skorgro	en-AU	
butt	smettbo	en-AU	
sm	smogon	en-AU	
wea	snibunna	en-AU	
snl	snieboss	en-AU	
per	snobilikat	en-AU	
is	sohnano	en-AU	
solg	solgaleo	en-AU	
mun	somniam	en-AU	
mush	somnivora	en-AU	
on	sonistrelle	en-AU	
vanil	sorbouboul	en-AU	
hhh	sorcilence	en-AU	
wim	sovkipou	en-AU	
spe	spectrier	en-AU	
hau	spectrum	en-AU	
exc	stalobor	en-AU	
st	staralili	en-AU	
star	staross	en-AU	
lai	stollrak	en-AU	
a	stollunior	en-AU	
cb	strassie	en-AU	
ts	sucreine	en-AU	
si	sunahebi	en-AU	
cor	sunnygo	en-AU	
swa	swaroness	en-AU	
sig	symvolara	en-AU	
ob	tachifusaguma	en-AU	
tf	tafforgita	en-AU	
gf	taginguru	en-AU	
oba	tamazarashi	en-AU	
bulu	tapu bulu	en-AU	
fini	tapu fini	en-AU	
koko	tapu koko	en-AU	
lele	tapu lele	en-AU	
ara	tarenbulle	en-AU	
pwr	tartard	en-AU	
app	taruppuru	en-AU	
po	taubsi	en-AU	
wg	taupikeau	en-AU	
dig	taupiqueur	en-AU	
hh	teburimu	en-AU	
nj	tekkanin	en-AU	
sh	tengulist	en-AU	
tc	tentagra	en-AU	
nut	tentantel	en-AU	
tcc	tenterra	en-AU	
rem	teppouo	en-AU	
cld	terraiste	en-AU	
herd	terribark	en-AU	
td	tetampoule	en-AU	
bar	thanathora	en-AU	
jolt	thunders	en-AU	
thu	thundurus	en-AU	
mudb	tiboudet	en-AU	
tl	ting-lu	en-AU	
pip	tiplouf	en-AU	
tar	tissenboule	en-AU	
leo	todoggler	en-AU	
wal	todoseruga	en-AU	
tt	togechick	en-AU	
tog	togedemaru 	en-AU	
ttt	togekiss	en-AU	
t	togepi	en-AU	
bst	toridepusu	en-AU	
gas	toritodon	en-AU	
torn	tornadus	en-AU	
ty	tornupto	en-AU	
ck	toroggon	en-AU	
tro	toropiusu	en-AU	
bla	tortank	en-AU	
tur	tortipouss	en-AU	
gd	tosakinto	en-AU	
sun	tournegrin	en-AU	
gos	tournicoton	en-AU	
grv	toutombe	en-AU	
to	toxapex 	en-AU	
tox	toxiquak	en-AU	
tx	toxizap	en-AU	
cub	tragosso	en-AU	
r	trasla	en-AU	
dro	traumato	en-AU	
mum	traunfugil	en-AU	
mis	traunmagil	en-AU	
wgg	triopikeau	en-AU	
dug	triopikeur	en-AU	
hyd	trioxhydre	en-AU	
ohr	trombork	en-AU	
fo	trompignon	en-AU	
cf	trousselin	en-AU	
shu	tsubotsubo	en-AU	
stak	tsundetsunde	en-AU	
